,alpha,mu,omega,logposterior
453,0.050138332,1.1612103,0.705657,-1973.138916015625
454,0.05034624,1.1734141,0.69349736,-1966.7939453125
455,0.05030565,1.1699866,0.6989407,-1966.787353515625
456,0.05030565,1.1699866,0.6989407,-1966.342041015625
457,0.04945092,1.1844711,0.68999296,-1967.6146240234375
458,0.04945092,1.1844711,0.68999296,-1967.505615234375
459,0.049312476,1.2019058,0.6806233,-1968.3603515625
460,0.049341343,1.1929069,0.6783868,-1969.77685546875
461,0.050075766,1.1739126,0.6781343,-1969.796875
462,0.049578983,1.1771199,0.6782668,-1969.5335693359375
463,0.049641848,1.1769052,0.6823566,-1968.7940673828125
464,0.050165355,1.1817995,0.6889087,-1967.7049560546875
465,0.050667387,1.1692883,0.6881257,-1968.1376953125
466,0.050667387,1.1692883,0.6881257,-1967.8616943359375
467,0.050095282,1.1747222,0.67895144,-1969.0216064453125
468,0.050095282,1.1747222,0.67895144,-1970.026611328125
469,0.050095282,1.1747222,0.67895144,-1969.492431640625
470,0.049889423,1.1582975,0.68116325,-1969.3831787109375
471,0.049889423,1.1582975,0.68116325,-1968.2464599609375
472,0.04995659,1.1529248,0.6955169,-1968.6707763671875
