,alpha,mu,omega,logposterior
253,0.045717616,1.1031975,0.6640374,-1968.5755615234375
254,0.04532166,1.0909673,0.66704595,-1965.982666015625
255,0.04516444,1.0926635,0.6658748,-1967.85986328125
256,0.04516444,1.0926635,0.6658748,-1968.0887451171875
257,0.04563621,1.0977095,0.67107433,-1968.38330078125
258,0.04563621,1.0977095,0.67107433,-1967.8670654296875
259,0.04563621,1.0977095,0.67107433,-1967.0792236328125
260,0.046838224,1.0982592,0.6736669,-1967.8507080078125
261,0.046815004,1.0999014,0.6786166,-1968.47314453125
262,0.046230312,1.0866092,0.6731915,-1967.570556640625
263,0.046257798,1.0778909,0.6770581,-1968.095947265625
264,0.04612362,1.0707773,0.66936374,-1966.4619140625
265,0.04612362,1.0707773,0.66936374,-1968.2083740234375
266,0.045913134,1.072898,0.67086416,-1968.03515625
267,0.045913134,1.072898,0.67086416,-1966.4210205078125
268,0.046145707,1.0627074,0.6637004,-1969.868408203125
269,0.045382466,1.0617361,0.6486943,-1970.9410400390625
270,0.045382466,1.0617361,0.6486943,-1969.5611572265625
271,0.045437887,1.0679773,0.64337337,-1970.9166259765625
272,0.045338374,1.0703233,0.6512327,-1969.014404296875
273,0.045338374,1.0703233,0.6512327,-1969.307861328125
274,0.044622958,1.0685353,0.6777895,-1970.8759765625
275,0.044622958,1.0685353,0.6777895,-1989.3438720703125
276,0.044903856,1.0547211,0.66872954,-1970.6815185546875
277,0.044903856,1.0547211,0.66872954,-1976.8287353515625
278,0.0440401,1.0411594,0.66112065,-1971.609130859375
279,0.044570282,1.0412873,0.6581364,-1969.66015625
280,0.044570282,1.0412873,0.6581364,-1971.800537109375
281,0.044570282,1.0412873,0.6581364,-1968.12890625
282,0.044570282,1.0412873,0.6581364,-1968.3348388671875
283,0.044570282,1.0412873,0.6581364,-1968.8218994140625
284,0.044570282,1.0412873,0.6581364,-1971.850341796875
285,0.044570282,1.0412873,0.6581364,-1971.185546875
286,0.044686925,1.0367645,0.64983267,-1970.741455078125
287,0.044686925,1.0367645,0.64983267,-1968.7344970703125
288,0.044686925,1.0367645,0.64983267,-1969.3062744140625
289,0.044686925,1.0367645,0.64983267,-1971.260986328125
290,0.044686925,1.0367645,0.64983267,-1969.12548828125
291,0.044686925,1.0367645,0.64983267,-1970.6295166015625
292,0.044885155,1.0118158,0.6354911,-1971.9705810546875
293,0.044570517,0.99556977,0.6294698,-1973.34716796875
294,0.045043174,0.9858782,0.6295163,-1972.0865478515625
295,0.04529581,0.99466467,0.6260572,-1975.726318359375
296,0.044921856,0.99856895,0.62966377,-1973.4962158203125
297,0.044921856,0.99856895,0.62966377,-1973.4398193359375
298,0.044686962,0.99563015,0.63084835,-1975.776611328125
299,0.044686962,0.99563015,0.63084835,-1973.40966796875
300,0.044580977,0.9890858,0.6242265,-1974.4095458984375
301,0.04383382,0.9788254,0.62140125,-1974.1368408203125
302,0.04383382,0.9788254,0.62140125,-1974.5863037109375
303,0.043058045,0.98476803,0.6316836,-1972.7550048828125
304,0.042365443,1.0015988,0.62390697,-1972.0699462890625
305,0.04284544,1.0057281,0.62568706,-1971.2371826171875
306,0.042868063,1.0015761,0.6372229,-1971.802490234375
307,0.04303062,1.0237999,0.6484841,-1968.7696533203125
308,0.04341912,1.0181525,0.63436854,-1970.9942626953125
309,0.04341912,1.0181525,0.63436854,-1971.5350341796875
310,0.04341912,1.0181525,0.63436854,-1970.3759765625
311,0.04341912,1.0181525,0.63436854,-1970.8310546875
312,0.043383513,1.0223587,0.6556724,-1972.4686279296875
313,0.043383513,1.0223587,0.6556724,-1970.341796875
314,0.043383513,1.0223587,0.6556724,-1976.859130859375
315,0.043191265,1.0309098,0.65047896,-1969.5892333984375
316,0.043191265,1.0309098,0.65047896,-1966.817626953125
317,0.04381702,1.0376598,0.6586945,-1967.6837158203125
318,0.04381702,1.0376598,0.6586945,-1972.628662109375
319,0.043775856,1.0272225,0.64213336,-1971.00634765625
320,0.043775856,1.0272225,0.64213336,-1970.0692138671875
321,0.04393617,1.0165564,0.6453349,-1971.50537109375
322,0.04393617,1.0165564,0.6453349,-1970.6539306640625
323,0.043440137,1.0175997,0.64669186,-1967.8548583984375
324,0.043465685,1.0063384,0.6358259,-1970.4837646484375
325,0.043145776,1.026069,0.65404487,-1969.8125
326,0.043444075,1.0399257,0.6590026,-1969.664794921875
327,0.043444075,1.0399257,0.6590026,-1970.95458984375
328,0.043866772,1.0428948,0.65599096,-1968.473876953125
329,0.043866772,1.0428948,0.65599096,-1973.7362060546875
330,0.043866772,1.0428948,0.65599096,-1967.9549560546875
331,0.043866772,1.0428948,0.65599096,-1968.352783203125
332,0.043866772,1.0428948,0.65599096,-1967.507568359375
333,0.04382755,1.041324,0.66386193,-1969.8046875
334,0.04382755,1.041324,0.66386193,-1967.6253662109375
