idx,alpha,mu,omega,loglike
349,0.01,1.12,0.9615384615384616,-inf
350,0.01,1.2,0.038461538461538464,1.4203992936756355e+21
351,0.01,1.2,0.07692307692307693,1.4203992936756355e+21
352,0.01,1.2,0.11538461538461539,1.4203992936756355e+21
353,0.01,1.2,0.15384615384615385,1.4203992936756355e+21
354,0.01,1.2,0.19230769230769232,1.4203992936756355e+21
355,0.01,1.2,0.23076923076923078,1.4203992936756355e+21
356,0.01,1.2,0.2692307692307693,1.4203992936756355e+21
357,0.01,1.2,0.3076923076923077,1.4203992936756355e+21
358,0.01,1.2,0.34615384615384615,1.4203992936756355e+21
359,0.01,1.2,0.38461538461538464,1.4203992936756355e+21
360,0.01,1.2,0.42307692307692313,1.4203992936756355e+21
361,0.01,1.2,0.46153846153846156,1.4203992936756355e+21
362,0.01,1.2,0.5,1.4203992936756355e+21
363,0.01,1.2,0.5384615384615385,1.4480694097861998e+21
364,0.01,1.2,0.576923076923077,1.4203992936756355e+21
365,0.01,1.2,0.6153846153846154,1.4203992936756355e+21
366,0.01,1.2,0.6538461538461539,1.4203992936756355e+21
367,0.01,1.2,0.6923076923076923,1.4203992936756355e+21
368,0.01,1.2,0.7307692307692308,1.4203992936756355e+21
369,0.01,1.2,0.7692307692307693,1.4203992936756355e+21
370,0.01,1.2,0.8076923076923077,1.4203992936756355e+21
371,0.01,1.2,0.8461538461538463,-inf
372,0.01,1.2,0.8846153846153847,-inf
373,0.01,1.2,0.9230769230769231,-inf
374,0.01,1.2,0.9615384615384616,-inf
375,0.01,1.28,0.038461538461538464,1.4203992936756355e+21
376,0.01,1.28,0.07692307692307693,1.4203992936756355e+21
377,0.01,1.28,0.11538461538461539,1.4203992936756355e+21
378,0.01,1.28,0.15384615384615385,1.4203992936756355e+21
379,0.01,1.28,0.19230769230769232,1.4203992936756355e+21
380,0.01,1.28,0.23076923076923078,1.4203992936756355e+21
381,0.01,1.28,0.2692307692307693,1.4203992936756355e+21
