Worm #,CFU_22,CFU_222,CFU_2222,PFU,Day,Exp,Sync,
11,0,0,,,5,ST047,4/30/2025,
12,0,0,,,5,ST047,4/30/2025,
13,0,0,,,5,ST047,4/30/2025,
14,7,0,,,5,ST047,4/30/2025,
15,59,7,,,5,ST047,4/30/2025,
16,unc,121,,,5,ST047,4/30/2025,
17,0,0,,,5,ST047,4/30/2025,
18,1,0,,,5,ST047,4/30/2025,
19,2,0,,,5,ST047,4/30/2025,
20,0,0,,,5,ST047,4/30/2025,
21,1,0,,,5,ST047,4/30/2025,
22,0,0,,,5,ST047,4/30/2025,
23,2,0,,,5,ST047,4/30/2025,
24,73,12,,,5,ST047,4/30/2025,
25,0,0,,,5,ST047,4/30/2025,
1,1,0,0,,7,ST047,4/30/2025,
2,0,0,0,,7,ST047,4/30/2025,
3,0,0,0,,7,ST047,4/30/2025,
4,0,0,0,,7,ST047,4/30/2025,
5,0,0,0,,7,ST047,4/30/2025,
6,unc,159,16,,7,ST047,4/30/2025,
7,0,0,0,,7,ST047,4/30/2025,
8,5,0,0,,7,ST047,4/30/2025,
9,0,0,0,,7,ST047,4/30/2025,
10,unc,66,6,,7,ST047,4/30/2025,
11,10,1,0,,7,ST047,4/30/2025,
12,4,0,0,,7,ST047,4/30/2025,
13,0,0,0,,7,ST047,4/30/2025,
14,0,0,0,,7,ST047,4/30/2025,
15,1,0,0,,7,ST047,4/30/2025,
16,1,0,0,,7,ST047,4/30/2025,
17,0,0,0,,7,ST047,4/30/2025,
18,0,0,0,,7,ST047,4/30/2025,
19,unc,129,10,,7,ST047,4/30/2025,
20,unc,302,62,,7,ST047,4/30/2025,
21,0,0,0,,7,ST047,4/30/2025,
22,1,0,1,,7,ST047,4/30/2025,
23,4,1,0,,7,ST047,4/30/2025,
24,5,0,0,,7,ST047,4/30/2025,
25,0,0,0,,7,ST047,4/30/2025,
1,2,0,0,,9,ST047,4/30/2025,
2,unc,94,5,,9,ST047,4/30/2025,
3,0,0,0,,9,ST047,4/30/2025,
4,1,1,0,,9,ST047,4/30/2025,
5,3,0,0,,9,ST047,4/30/2025,
6,213,29,4,,9,ST047,4/30/2025,
7,7,0,0,,9,ST047,4/30/2025,
8,7,0,0,,9,ST047,4/30/2025,
9,0,0,0,,9,ST047,4/30/2025,
10,0,0,0,,9,ST047,4/30/2025,
11,1,0,0,,9,ST047,4/30/2025,
12,1,0,0,,9,ST047,4/30/2025,
13,unc,124,9,,9,ST047,4/30/2025,
14,11,0,0,,9,ST047,4/30/2025,
15,3,1,0,,9,ST047,4/30/2025,
16,7,1,0,,9,ST047,4/30/2025,
17,1,0,0,,9,ST047,4/30/2025,
18,unc,72,2,,9,ST047,4/30/2025,
19,0,0,0,,9,ST047,4/30/2025,
20,unc,195,27,,9,ST047,4/30/2025,
21,357,37,10,,9,ST047,4/30/2025,
22,231,16,1,,9,ST047,4/30/2025,
23,0,0,0,,9,ST047,4/30/2025,
24,0,0,0,,9,ST047,4/30/2025,
25,0,0,0,,9,ST047,4/30/2025,
